,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
0,1,2024-07-31 10:43:31,2024-07-31 11:05:08,1.0,1.4,1.0,229,Manhattan,Sutton Place/Turtle Bay North,170,Manhattan,Murray Hill,1,17.0,2.5,0.5,3.5,0.0,24.5,2.5
1,2,2024-07-30 21:11:17,2024-07-30 21:24:36,1.0,1.43,1.0,79,Manhattan,East Village,170,Manhattan,Murray Hill,1,12.8,1.0,0.5,3.2,0.0,21.0,2.5
2,3,2024-07-30 19:01:24,2024-07-30 19:19:28,1.0,1.44,1.0,162,Manhattan,Midtown East,48,Manhattan,Clinton East,1,16.3,2.5,0.5,4.56,0.0,27.36,2.5
3,4,2024-07-30 16:32:53,2024-07-30 16:39:20,1.0,0.62,1.0,237,Manhattan,Upper East Side South,142,Manhattan,Lincoln Square East,1,7.2,2.5,0.5,2.74,0.0,16.44,2.5
4,5,2024-07-30 10:54:06,2024-07-30 11:12:39,1.0,1.71,1.0,142,Manhattan,Lincoln Square East,237,Manhattan,Upper East Side South,1,17.0,0.0,0.5,4.2,0.0,25.2,2.5
5,6,2024-07-30 07:25:33,2024-07-30 07:29:23,1.0,0.9,1.0,164,Manhattan,Midtown South,230,Manhattan,Times Sq/Theatre District,1,6.5,0.0,0.5,2.1,0.0,12.6,2.5
6,7,2024-07-29 21:34:56,2024-07-29 21:46:40,1.0,1.2,1.0,230,Manhattan,Times Sq/Theatre District,162,Manhattan,Midtown East,2,10.7,3.5,0.5,0.0,0.0,15.7,2.5
7,8,2024-07-29 17:15:57,2024-07-29 17:22:26,1.0,1.07,1.0,161,Manhattan,Midtown Center,90,Manhattan,Flatiron,1,7.9,2.5,0.5,2.16,0.0,16.56,2.5
8,9,2024-07-29 12:41:27,2024-07-29 12:53:56,2.0,1.65,1.0,74,Manhattan,East Harlem North,75,Manhattan,East Harlem South,1,12.8,0.0,0.5,3.58,0.0,17.88,0.0
9,10,2024-07-27 19:04:40,2024-07-27 19:23:14,1.0,3.02,1.0,231,Manhattan,TriBeCa/Civic Center,33,Brooklyn,Brooklyn Heights,1,18.4,0.0,0.5,4.48,0.0,26.88,2.5
